date,id,tweet,replies_count,retweets_count,likes_count
2021-03-24,1374619379929772034,Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.  Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.,4675,20572,179638
2021-03-24,1374617643446063105,You can now buy a Tesla with Bitcoin,36954,115994,902515
2021-03-12,1370449101402353669,BTC (Bitcoin) is an anagram of TBC(The Boring Company) What a coincidence!,12073,17825,245163
2021-02-19,1362600676174557186,@business To be clear, I am *not* an investor, I am an engineer. I don’t even own any publicly traded stock besides Tesla.   However, when fiat currency has negative real interest, only a fool wouldn’t look elsewhere.   Bitcoin is almost as bs as fiat money. The key word is “almost”.,2187,6318,35319
2021-02-19,1362598034866118658,@business Tesla’s action is not directly reflective of my opinion. Having some Bitcoin, which is simply a less dumb form of liquidity than cash, is adventurous enough for an S&amp;P500 company.,992,3476,27738
2020-12-20,1340588909974200321,Bitcoin is almost as bs as fiat money,8196,9994,140112
2020-12-20,1340573003579617280,Bitcoin is my safe word,6700,19942,239982
2020-11-17,1328458535340949505,@Maisie_Williams 🎶 Toss a bitcoin to ur Witcher 🎶,1107,3320,66188
2020-05-16,1261429085999296512,@jk_rowling I still only own 0.25 Bitcoins btw,1650,981,9674
2020-05-16,1261416824459030529,@jk_rowling Pretty much, although massive currency issuance by govt central banks is making Bitcoin Internet 👻 money look solid by comparison,749,2842,14939
2020-05-02,1256353943765921792,@Bitcoin How much for some anime Bitcoin?  https://t.co/itqRslFNcb,749,2206,17434
2020-05-02,1256351293007736832,@Bitcoin 🤣🤣,159,172,5087
2020-01-10,1215528293266362368,@bitcoin2020conf 😉,56,72,3073
2020-01-10,1215526980449255424,Bitcoin is *not* my safe word,2738,8775,119632
2018-10-23,1054520588734058496,@vicentes @Grimezsz Wanna buy some Bitcoin? 😉😉  https://t.co/9ZbBJ5fuVq,1070,7431,24040
2021-03-24,1374619672973221892,Pay by Bitcoin capability available outside US later this year,3152,9279,141418
