polis#,Name,Polisity,Hellenicity,In/out,staseis,prom 1,prom 2,prom 3,area 1,area 2,Silver,Bronze,Grid,Colonies,Victors,Proxenoi,Democracy,Walls,Delian L,Koinon,Region name,Region #,Latitude,Longitude,Pleiades link,Elevation m,
1,Alalie,1,1,1,0,1.12,,,3,,,,,0,0,0,0,1,0,,Spain & France,1,42.1024003333,9.511828,https://pleiades.stoa.org/places/472048,41.7,
2,Emporion,1,2,2,0,2.12,0,0,2,5,6,,,0,0,0,0,1,0,,Spain & France,1,42.13342,3.1145495,https://pleiades.stoa.org/places/246382,0,
3,Massalia,1,1,2,1,4,0,3,2,40,6,,6,2,0,0,1,1,0,,Spain & France,1,43.296854,5.382499,https://pleiades.stoa.org/places/148127,32.5,
4,Rhode,2,1,3,0,0.87,,,0,,4,,4,0,0,0,0,0,0,,Spain & France,1,42.264882,3.173819,https://pleiades.stoa.org/places/246588,0,
5,Abakainon,2,2,2,0,1,,,0,,5,4,,0,0,0,0,1,0,,Sikelia,2,38.0518099667,15.1003329333,https://pleiades.stoa.org/places/462062,385.7,
6,Adranon,2,1,3,1,1,,,0,,,4,,0,0,0,0,1,0,,Sikelia,2,37.6624065,14.8345046,https://pleiades.stoa.org/places/462074,562.7,
7,Agyrion,2,1,2,0,1.25,,,0,,,5,,0,0,0,1,1,0,,Sikelia,2,37.65624055,14.5259926,https://pleiades.stoa.org/places/462082,466,
8,Aitna,1,1,1,0,3.25,,,4,,5,4,,1,3,0,1,0,0,,Sikelia,2,38.192251,15.556634,https://pleiades.stoa.org/places/465922,10.4,
9,Akragas,1,1,4,7,6.37,72,105,5,450,6,5,6,0,3,1,2,1,0,,Sikelia,2,37.2928921545,13.5894544818,https://pleiades.stoa.org/places/462086,210.9,
10,Akrai,3,1,2,0,1.25,,,0,,,,,0,0,0,0,1,0,,Sikelia,2,37.05836322,14.8963139,https://pleiades.stoa.org/places/462068,604,
11,Alaisa,2,2,2,0,0.87,,,0,,,4,,0,0,0,0,0,0,,Sikelia,2,37.99808,14.262968,,214.6,
12,Alontion,2,3,3,0,0.5,,,0,,,4,,0,0,0,0,0,0,,Sikelia,2,38.071898,14.700314,,546.3,
13,Apollonia,3,1,2,0,0.37,,,0,,,,,0,0,0,1,1,0,,Sikelia,2,38.0262247667,14.5967106667,https://pleiades.stoa.org/places/462097,345,
14,Engyon,3,1,2,0,0.62,,,0,,,,,0,0,0,1,1,0,,Sikelia,2,37.786715,14.591438,https://pleiades.stoa.org/places/462195,1014.8,
15,Euboia,3,1,1,0,1,,,0,,,,,0,0,0,0,1,0,,Sikelia,2,37.1547375,14.6996988,https://pleiades.stoa.org/places/462203,,
16,Galeria,3,2,2,0,0.5,,,0,,5,,,0,0,0,0,0,0,,Sikelia,2,,,,,
17,Gela,1,1,4,3,5.12,103,53,5,200,5,4,4,3,2,1,2,1,0,,Sikelia,2,37.0630925,14.2584705,https://pleiades.stoa.org/places/462214,32.6,
18,Heloros (or Heloron? Or Ailoros?),1,1,2,0,1.75,2,0,4,9,,,4,0,0,0,0,1,0,,Sikelia,2,36.84147655,15.10736185,https://pleiades.stoa.org/places/462234,27,
19,Henna,2,2,2,1,1.37,,,0,,5,4,,0,0,0,1,0,0,,Sikelia,2,37.567652,14.279558,https://pleiades.stoa.org/places/462236,942.7,
20,Herakleia,2,1,2,0,2.12,,,0,,,4,4,0,0,0,0,1,0,,Sikelia,2,37.394042,13.280904,,63,
21,Herakleia,3,1,1,0,0.75,,,0,,,,,0,0,0,0,0,0,,Sikelia,2,,,,,
22,Herbessos,3,3,3,0,0.62,,,0,,4,4,,0,0,0,0,1,0,,Sikelia,2,37.4276413,14.30042355,https://pleiades.stoa.org/places/462239,63,
23,Herbita,3,3,3,0,1,,,0,,4,4,,1,0,1,1,0,0,,Sikelia,2,37.7569858,14.1735113,https://pleiades.stoa.org/places/465910,7.3,
24,Himera,1,1,1,1,5,22,48,5,82,6,5,7,0,4,0,2,1,0,,Sikelia,2,37.970797,13.822496,https://pleiades.stoa.org/places/462244,89.3,
25,Hippana,3,2,3,0,0.62,,,0,,5,4,,0,0,0,0,1,0,,Sikelia,2,37.71197255,13.4342707,https://pleiades.stoa.org/places/462247,982.7,
26,Imachara,3,2,2,0,0.5,,,0,,4,,,0,0,0,0,0,0,,Sikelia,2,37.748625,14.398112,https://pleiades.stoa.org/places/462259,730.8,
27,Kallipolis,1,1,2,0,0.75,,,0,,,,,0,0,0,0,1,0,,Sikelia,2,,,,,
28,Kamarina,1,1,2,1,5.62,301,31,4,150,5,5,6,1,1,0,2,1,0,,Sikelia,2,36.8602887,14.469420375,https://pleiades.stoa.org/places/462126,45.3,
29,Kasmenai,1,1,2,0,1.62,,,0,,,,7,0,0,0,0,1,0,,Sikelia,2,37.073804,14.8362835,https://pleiades.stoa.org/places/462269,748.5,
30,Katane,1,1,3,1,3.75,,,4,,5,5,,1,0,1,1,1,0,,Sikelia,2,37.50521085,15.0866236,https://pleiades.stoa.org/places/462270,19.6,
31,Kentoripa,3,3,3,0,1.12,,,4,,,4,,0,0,0,1,0,0,,Sikelia,2,37.624073,14.740017,https://pleiades.stoa.org/places/462153,712.8,
32,Kephaloidion,3,3,2,0,1.12,,,4,,4,4,7,0,0,0,0,1,0,,Sikelia,2,38.03814,14.025568,https://pleiades.stoa.org/places/462154,204.8,
33,Leontinoi,1,1,4,0,4,26,119,4,40,5,5,,1,0,0,2,1,0,,Sikelia,2,37.285478,14.998115,https://pleiades.stoa.org/places/462279,60.9,
34,Lipara,1,1,2,0,2.25,,,2,,,5,,0,0,1,0,1,0,,Sikelia,2,38.46740105,14.9539573,https://pleiades.stoa.org/places/462283,13.6,
35,Longane,3,2,2,0,0.75,,,0,,,5,,0,0,0,0,1,0,,Sikelia,2,38.082515,15.168053,https://pleiades.stoa.org/places/462287,259.8,
36,Megara (Hyblaia),1,1,1,1,3.37,11,193,4,60,4,,7,1,0,0,0,1,0,,Sikelia,2,37.203717,15.181777,https://pleiades.stoa.org/places/462307,13.3,
37,Morgantina,3,2,2,0,2.12,,,4,,5,4,,0,0,0,0,0,0,,Sikelia,2,37.4306747667,14.4794492667,https://pleiades.stoa.org/places/462372,554.5,
38,Mylai,1,1,2,0,3,,,2,,,,,0,0,0,0,1,0,,Sikelia,2,38.219365,15.240385,https://pleiades.stoa.org/places/462379,79,
39,Mytistratos,3,2,2,0,0.62,,,0,,,4,4,0,0,0,0,1,0,,Sikelia,2,37.6042569,13.93401535,https://pleiades.stoa.org/places/462381,696,
40,Nakone,3,2,2,1,0.37,,,0,,,5,,0,0,0,0,0,0,,Sikelia,2,38.192251,15.556634,https://pleiades.stoa.org/places/465958,10.4,
41,Naxos,1,1,1,1,5,11,47,4,35,6,5,7,3,2,0,0,1,0,,Sikelia,2,37.82248715,15.2677947,https://pleiades.stoa.org/places/462386,20.3,
42,Petra,3,3,3,0,0.25,,,0,,,4,,0,0,0,0,0,0,,Sikelia,2,37.677368,13.598601,,741.8,
